ID,item,real,pred
289,8129,0,0.47280454635620117
352,4919,0,0.49871835112571716
58,14312,0,0.4060324728488922
146,15379,0,0.45817965269088745
367,6858,1,0.45393842458724976
31,3006,1,0.5173053741455078
95,10509,1,0.502540647983551
229,8816,0,0.513536810874939
104,1842,1,0.489888072013855
175,13006,1,0.46239033341407776
346,11852,1,0.47522515058517456
369,17466,1,0.5478152632713318
366,1983,0,0.49151864647865295
204,8686,0,0.4662085473537445
351,803,1,0.4484767019748688
288,14379,0,0.47311729192733765
406,11016,0,0.46369603276252747
252,4841,0,0.4581552743911743
146,15338,0,0.4495009481906891
48,13173,1,0.4512982964515686
44,916,0,0.465081125497818
16,9368,0,0.41961613297462463
382,6421,0,0.5050795674324036
179,4214,0,0.5518714189529419
294,6877,0,0.4575860798358917
243,13758,0,0.46192535758018494
73,13424,1,0.5811271667480469
138,8509,0,0.48322921991348267
374,17146,1,0.4254036545753479
241,15850,0,0.5413966774940491
221,12460,0,0.4711296260356903
365,10217,1,0.4909636080265045
293,8621,1,0.46352338790893555
105,17375,0,0.5116017460823059
21,3776,0,0.47684556245803833
73,13460,1,0.44814589619636536
116,16126,1,0.48813971877098083
226,5423,0,0.40102618932724
14,11099,1,0.5340715646743774
283,4501,0,0.4221331775188446
410,6546,1,0.4050344228744507
62,4438,1,0.42698052525520325
204,8693,0,0.4301047921180725
179,4230,0,0.44062912464141846
150,2180,1,0.5049974918365479
214,4993,1,0.5211168527603149
373,10711,0,0.45149120688438416
177,1881,0,0.4692591428756714
387,4625,0,0.5635488033294678
249,8967,1,0.4650310277938843
109,3924,0,0.4869757890701294
146,15254,0,0.5495465993881226
178,17588,0,0.4280673563480377
189,3223,1,0.5175021886825562
88,15645,0,0.5050208568572998
346,11900,1,0.5578373074531555
250,10874,0,0.46700289845466614
353,9896,0,0.403491348028183
292,4797,1,0.34819990396499634
146,15261,0,0.555774450302124
208,16797,1,0.48164573311805725
286,4186,1,0.45943477749824524
142,14240,1,0.4575463831424713
223,14532,0,0.44251713156700134
258,11072,1,0.5090009570121765
0,12620,1,0.42026710510253906
87,12062,1,0.481300413608551
326,5927,1,0.4630221128463745
168,718,0,0.4654551148414612
226,5434,0,0.3417333662509918
2,17183,0,0.4841817021369934
136,11205,0,0.4290617108345032
403,15046,1,0.49329501390457153
251,8935,1,0.49271345138549805
311,1412,1,0.5478028059005737
222,5967,1,0.4543839693069458
21,3751,0,0.5376903414726257
27,7856,1,0.4132900536060333
229,8806,0,0.4659443199634552
189,3261,1,0.4887085556983948
216,1021,1,0.5341114401817322
64,15737,0,0.4288790822029114
272,14993,1,0.5470886826515198
2,17307,0,0.4556467533111572
117,6358,0,0.48151063919067383
196,12814,1,0.3460386097431183
270,13546,0,0.32748380303382874
4,10737,0,0.5699657797813416
31,3005,1,0.49481162428855896
282,5411,1,0.4748576879501343
146,15302,0,0.4649088978767395
76,16128,0,0.35542580485343933
142,14249,1,0.465086966753006
404,15603,0,0.4449104070663452
0,12654,1,0.3656420409679413
345,6166,1,0.4603220522403717
171,3800,0,0.48505061864852905
24,8322,0,0.40226465463638306
379,1523,1,0.36614790558815
157,11706,0,0.48479926586151123
48,13215,1,0.49982041120529175
331,9918,1,0.4015170633792877
199,4583,0,0.5029358267784119
319,4163,0,0.42991888523101807
91,3518,0,0.45475414395332336
312,10640,1,0.47496265172958374
57,2677,0,0.4585203528404236
371,6327,0,0.4772930145263672
39,7622,0,0.5442067980766296
268,16968,1,0.44539931416511536
213,17671,0,0.4850379526615143
73,13435,1,0.4462326467037201
201,7865,1,0.40338650345802307
220,8209,0,0.4863037168979645
187,3437,0,0.4109590947628021
202,7346,1,0.5377707481384277
23,8750,0,0.4316847622394562
10,10169,0,0.4561595320701599
214,4976,1,0.5886880159378052
373,10714,0,0.48470133543014526
203,1662,1,0.4390455484390259
411,3343,1,0.42573273181915283
126,12962,0,0.49820876121520996
300,3901,0,0.38263386487960815
37,15170,0,0.3512856364250183
165,12819,1,0.49285778403282166
83,14953,0,0.4679029881954193
35,1736,1,0.4627341628074646
241,15830,0,0.4451417028903961
84,16247,1,0.4711568355560303
175,13024,1,0.5118794441223145
295,12238,1,0.4571974575519562
60,1549,0,0.5067498683929443
134,13698,1,0.45289352536201477
85,13355,1,0.46217870712280273
10,10196,0,0.2614000737667084
296,16478,1,0.4618784487247467
164,11502,0,0.422016978263855
105,17362,0,0.5586767792701721
354,10319,1,0.5901808738708496
160,12115,1,0.4756987690925598
3,3308,0,0.4551098346710205
215,1160,1,0.4925244152545929
340,5566,0,0.41841942071914673
179,4280,0,0.4750433564186096
161,1256,0,0.2504828870296478
208,16757,1,0.4855782985687256
138,8508,0,0.4565578103065491
313,1043,0,0.4127262532711029
138,8510,0,0.4479728043079376
341,11565,0,0.3915575444698334
40,2331,0,0.45648205280303955
146,15311,0,0.494183212518692
409,11377,0,0.46728843450546265
318,12877,0,0.4834776520729065
145,2603,0,0.46807634830474854
156,4945,0,0.4733683466911316
331,10049,1,0.5138569474220276
39,7603,0,0.46787115931510925
362,5133,0,0.45304790139198303
346,11981,1,0.5480849146842957
349,4695,1,0.38562384247779846
283,4511,0,0.5284535884857178
260,9409,1,0.4713132083415985
254,14174,0,0.4267863929271698
384,4764,1,0.40842539072036743
136,11183,0,0.45586708188056946
92,14436,0,0.43588700890541077
243,13741,0,0.486596018075943
165,12820,1,0.44463810324668884
249,8981,1,0.46057918667793274
4,10726,0,0.4537326693534851
404,15617,0,0.5118364691734314
361,14135,0,0.4810168743133545
227,15445,0,0.5184080600738525
406,11035,0,0.46486377716064453
269,16067,1,0.4573756456375122
210,14871,0,0.5393032431602478
346,11972,1,0.4922883212566376
68,16890,0,0.48725107312202454
15,9253,1,0.6916247606277466
159,3876,0,0.3839603364467621
237,2723,1,0.4726922810077667
252,4835,0,0.474534273147583
67,3664,0,0.42825406789779663
141,14495,0,0.4699467718601227
411,3376,1,0.46900439262390137
239,7172,1,0.5459879636764526
59,9305,0,0.4715028405189514
232,11265,0,0.5200747847557068
72,13085,1,0.44143375754356384
207,6562,1,0.48626160621643066
4,10758,0,0.4782516062259674
350,1282,0,0.47575077414512634
21,3770,0,0.4385906755924225
215,1156,1,0.507951557636261
306,2390,1,0.4839177131652832
168,696,0,0.41698554158210754
327,12583,0,0.4426428973674774
194,13515,0,0.4016124904155731
365,10213,1,0.6864188313484192
23,8766,0,0.4479740560054779
346,11758,1,0.4453021287918091
117,6355,0,0.4836539924144745
253,17620,0,0.40258657932281494
298,17103,0,0.49301424622535706
136,11224,0,0.4173821806907654
310,8334,1,0.4720301926136017
168,707,0,0.47649797797203064
58,14339,0,0.3664083182811737
21,3781,0,0.455626904964447
357,8425,1,0.5541462898254395
198,512,0,0.4966781437397003
2,17299,0,0.3070783019065857
208,16721,1,0.5350108742713928
396,741,0,0.4857131540775299
257,9483,0,0.44776517152786255
294,6905,0,0.49608224630355835
145,2618,0,0.5066538453102112
51,13395,0,0.45462220907211304
68,16927,0,0.47084444761276245
357,8443,1,0.4631754755973816
378,4381,1,0.540072500705719
290,5254,1,0.43973827362060547
208,16730,1,0.4802016615867615
176,14787,1,0.4802676737308502
394,7797,1,0.5022543668746948
293,8586,1,0.40114298462867737
153,14102,0,0.45549988746643066
376,8900,1,0.4656480550765991
215,1166,1,0.5612837672233582
58,14332,0,0.4389514625072479
159,3886,0,0.5476316809654236
341,11572,0,0.48768675327301025
231,13240,0,0.49238085746765137
221,12453,0,0.49215489625930786
195,2267,0,0.48791730403900146
169,11612,0,0.5565792918205261
390,13872,0,0.5239591598510742
86,6585,0,0.46246111392974854
7,8280,0,0.37767210602760315
239,7182,1,0.4595450162887573
54,2898,0,0.5583893656730652
320,6820,1,0.5411859154701233
292,4798,1,0.5533328652381897
37,15140,0,0.4964893162250519
250,10864,0,0.3060916066169739
236,8489,0,0.48098403215408325
251,8944,1,0.4743307828903198
232,11262,0,0.5183813571929932
195,2275,0,0.3563911020755768
42,612,0,0.2867090106010437
142,14231,1,0.4418427050113678
146,15390,0,0.5002605319023132
186,11404,1,0.3769780099391937
261,7671,0,0.4018978178501129
342,9434,1,0.09965672343969345
388,15929,1,0.3979090750217438
400,9778,0,0.4471589922904968
310,8369,1,0.3343118131160736
127,8178,1,0.5033935308456421
370,8073,1,0.4398286044597626
12,7073,1,0.49580439925193787
373,10694,0,0.4222462773323059
202,7349,1,0.4964732825756073
184,13796,1,0.5334481596946716
346,11779,1,0.5950138568878174
352,4891,0,0.47045066952705383
367,6849,1,0.4785105288028717
176,14814,1,0.45562055706977844
146,15352,0,0.4393920302391052
164,11484,0,0.5848984122276306
299,12436,1,0.529009997844696
319,4167,0,0.2463248372077942
190,4026,1,0.44369199872016907
26,17492,0,0.38936907052993774
346,11796,1,0.5134536027908325
306,2368,1,0.4944850206375122
68,16929,0,0.47624683380126953
213,17673,0,0.3873395621776581
286,4197,1,0.4627368152141571
348,9705,0,0.3737833797931671
42,644,0,0.4595737159252167
6,7692,0,0.5228566527366638
45,17409,1,0.35452836751937866
156,4942,0,0.4568057060241699
261,7676,0,0.49851953983306885
196,12751,1,0.5386120676994324
219,10831,0,0.4273597300052643
352,4884,0,0.4444843828678131
139,5039,0,0.49112915992736816
226,5438,0,0.4395832121372223
51,13406,0,0.5124492645263672
184,13803,1,0.4458617568016052
220,8208,0,0.4345631003379822
